ST	CC
1	1
2	30
3	1
4	45
5	5
6	5
7	0
8	8
9	1
10	0
11	5
12	0
13	0
14	15
15	15
16	15
17	30
18	15
19	30
20	0
21	22
22	22
23	22
24	30
25	0
26	0
27	8
28	0
29	0
30	30
31	30
32	30
33	30
34	30
35	15
36	30
37	30
38	30
39	30
40	30
41	30
42	0
43	30
44	22
45	45
46	45
47	45
48	45
49	0
50	0
51	0
52	30
53	45
54	45
55	0
56	15
57	30
58	15
59	0
60	22
61	15
62	0
63	1
64	0
65	0
66	0
67	0
68	0
69	1
70	97
71	97
72	8
73	5
74	30
75	0
76	1
77	30
78	0
79	22
80	0
81	1
82	0
83	5
84	0
85	5
86	8
87	0
88	0
89	0
90	5
91	0
92	0
93	0
94	8
95	0
96	0
97	97
98	5
99	5
100	5
101	0
102	0
103	0
104	0
105	5
106	0
107	0
108	45
109	1
110	8
111	5
112	8
113	8
114	5
115	97
116	97
117	97
118	97
119	97
120	0
121	0
122	45
123	0
124	97
125	5
126	97
127	97
128	8
129	0
130	0
131	0
132	0
133	0
134	22
135	5
136	0
137	22
138	0
139	0
140	0
141	8
142	5
143	5
144	0
145	0
146	5
147	1
148	5
149	5
150	0
151	0
152	0
153	0
154	0
155	8
156	0
157	8
158	8
159	1
160	0
161	8
162	8
163	0
164	8
165	0
166	0
167	45
168	1
169	15
170	45
171	15
172	0
173	8
174	8
175	22
176	8
177	0
178	15
179	5
180	5
181	0
182	0
183	0
184	0
185	0
186	0
187	8
188	1
189	30
190	0
191	0
192	5
193	0
194	5
195	8
196	30
197	0
198	45
199	15
200	30
201	0
202	0
203	1
204	97
205	97
206	8
207	0
208	0
209	22
210	30
211	45
212	1
213	0
214	5
215	0
216	8
217	22
218	22
219	8
220	8
221	5
222	0
223	0
224	15
225	5
226	0
227	0
228	5
229	22
230	8
231	5
232	8
233	0
234	30
235	5
236	22
237	30
238	8
239	8
240	8
241	8
242	8
243	30
244	22
245	5
246	8
247	8
248	5
249	5
250	8
251	22
252	30
253	5
254	8
255	0
256	45
257	0
258	0
259	97
260	15
261	1
262	0
263	15
264	1
265	0
266	5
267	5
268	5
269	5
270	5
271	5
272	5
273	5
274	5
275	5
276	5
277	5
278	45
279	45
280	45
281	30
282	30
283	30
284	30
285	30
286	97
287	8
288	8
289	97
290	0
291	0
292	1
293	97
294	1
295	5
296	1
297	0
298	45
299	45
300	0
301	0
302	0
303	30
304	30
305	30
306	5
307	5
308	5
309	5
310	97
311	30
312	0
313	30
314	30
315	30
316	30
317	0
318	1
319	45
320	45
321	45
322	45
323	45
324	0
325	5
326	5
327	15
328	5
329	0
330	0
331	0
332	15
333	15
334	45
335	5
336	8
337	22
338	0
339	1
340	8
341	45
342	45
343	8
344	8
345	8
346	30
347	97
348	0
349	1
350	0
351	0
352	97
353	0
354	0
355	97
356	0
357	97
358	97
359	0
360	30
361	0
362	8
363	1
364	5
365	8
366	5
367	5
368	8
369	0
370	8
371	5
372	8
373	5
374	5
375	0
376	0
377	45
378	30
379	0
380	8
381	5
382	30
383	8
384	97
385	0
386	0
387	97
388	0
389	0
390	1
391	45
392	30
393	5
394	0
395	0
396	45
397	0
398	0
399	0
400	1
401	1
402	1
403	5
404	5
405	97
406	0
407	8
408	97
409	0
410	0
411	45
412	97
413	97
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	97
423	97
424	97
425	0
426	0
427	0
428	8
429	0
430	45
431	30
432	1
433	30
434	30
435	30
436	30
437	97
438	5
439	0
440	0
441	30
442	30
443	30
444	8
445	5
446	0
447	0
448	0
449	8
450	8
451	8
452	30
453	15
454	30
455	45
456	5
457	30
458	97
459	0
460	1
461	5
462	5
463	0
464	97
465	15
466	0
467	5
468	1
469	15
470	45
471	5
472	0
473	5
474	1
475	1
476	8
477	1
478	0
479	0
480	0
481	0
482	0
483	0
484	30
485	15
486	0
487	5
488	0
489	0
490	0
491	30
492	5
493	1
494	8
495	22
496	5
497	45
498	22
499	8
500	30
501	8
502	97
503	30
504	0
505	0
506	1
507	8
508	45
509	0
510	8
511	8
512	5
513	0
514	1
515	5
516	1
517	8
518	5
519	8
520	0
521	0
522	0
523	1
524	22
525	8
526	5
527	8
528	8
529	5
530	0
531	0
532	8
533	30
534	45
535	30
536	45
537	0
