Strain	ST
107	5
109	8
115	5
1203158	5
120335	5
120337	5
120338	5
122VISA	5
123	5
126	0
2001013782	72
2002002614	12
2002038081	45
2003718535	5
2006734597	5
2006745535	5
217	5
221	5
312	45
407	5
504	5
506	105
834N	109
BCH-SA-01	5
BCH-SA-02	5
BCH-SA-03	72
BCH-SA-04	0
BCH-SA-05	5
BCH-SA-06	5
BCH-SA-07	97
BCH-SA-08	30
BCH-SA-09	398
BCH-SA-10	8
BCH-SA-11	30
BCH-SA-12	5
BCH-SA-13	0
BCH-SA-14	72
BCH-SA-15	8
CA105	8
CA11	5
CA26	105
CA39	5
CA436	5
CA541	5
CA544	5
CA545	5
CA598	5
CA9	5
CFBREBSa101	5
CFBREBSa102	5
CFBREBSa103	1181
CFBREBSa104	5
CFBREBSa105	632
CFBREBSa108	632
CFBREBSa110	632
CFBREBSa112	632
CFBREBSa114	632
CFBREBSa116	5
CFBREBSa117	97
CFBREBSa118	5
CFBREBSa119	30
CFBREBSa121	8
CFBREBSa122	0
CFBREBSa123	5
CFBREBSa125	8
CFBREBSa126	8
CFBREBSa127	0
CFBREBSa129	8
CFBREBSa130	8
CFBREBSa131	45
CFBREBSa133	8
CFBREBSa135	0
CFBREBSa138	1181
CFBRSa03	5
CFBRSa04	0
CFBRSa05	8
CFBRSa06	37
CFBRSa07	5
CFBRSa21	5
CFBRSa22	105
CFBRSa23	225
CFBRSa24	105
CFBRSa25	5
CFBRSa26	5
CFBRSa27	5
CFBRSa28	0
CFBRSa29	8
CFBRSa30	0
CFBRSa47	632
CFBRSa48	225
CFBRSa49	8
CFBRSa50	0
CFBRSa51	5
CFBRSa66A	5
CFBRSa66B	5
CFBRSa70	5
CFBRSa74	5
EUH13	3781
EUH15	5
EUH25	8
GA12	5
GA15	8
GA231	8
GA27	8
GA48963	5
GA50245	97
GA50819	5
GA51254	8
GA53617	8
GA53649	5
GA984	632
Grady1	1
JE2	8
MN055	5
MN105	105
N315	5
NRS001	5
NRS002	5
NRS003	5
NRS021	8
NRS022	0
NRS027	8
NRS029	36
NRS035	572
NRS036	247
NRS039	247
NRS049	5
NRS051	5
NRS054	239
NRS063	372
NRS064	372
NRS070	0
NRS071	36
NRS072	1
NRS073	8
NRS074	105
NRS079	231
NRS100	250
NRS102	25
NRS103	0
NRS104	30
NRS105	97
NRS106	8
NRS108	8
NRS109	47
NRS110	5
NRS111	395
NRS112	30
NRS113	10
NRS114	8
NRS119	507
NRS145	8
NRS148	707
NRS149	5
NRS152	8
NRS157	22
NRS161	22
NRS162	0
NRS164	15
NRS167	1446
NRS168	45
NRS169	45
NRS170	10
NRS172	0
NRS175	72
NRS177	34
NRS178	49
NRS180	30
NRS182	12
NRS183	15
NRS185	121
NRS187	25
NRS188	1447
NRS189	1538
NRS191	34
NRS192	0
NRS194	1
NRS196	30
NRS198	254
NRS199	890
NRS201	254
NRS202	254
NRS203	0
NRS204	30
NRS205	707
NRS207	30
NRS209	247
NRS210	30
NRS211	8
NRS212	30
NRS213	30
NRS214	8
NRS215	121
NRS216	30
NRS217	121
NRS218	247
NRS219	30
NRS220	97
NRS222	30
NRS224	97
NRS225	121
NRS226	1
NRS227	25
NRS230	0
NRS231	0
NRS232	0
NRS233	0
NRS235	22
NRS236	45
NRS237	121
NRS239	121
NRS240	5
NRS241	59
NRS242	121
NRS243	59
NRS245	59
NRS246	30
NRS247	34
NRS248	1
NRS249	0
NRS252	30
NRS253	398
NRS254	8
NRS255	80
NRS256	109
NRS259	0
NRS260	25
NRS262	188
NRS264	34
NRS265	88
NRS266	121
NRS268	5
NRS271	22
NRS272	247
NRS275	254
NRS383	346
NRS386	72
NRS387	5
NY224	5
NY341	105
NY356	105
NY360	5
NY417	5
NY439	105
NY593	105
SR1065	109
SR1129	8
SR1287	8
SR1746	1564
SR2091	72
SR220	3869
SR2609	8
SR2852	239
SR3569	105
SR3585	5
SR3732	5
SR3777	5
SR4035	0
SR4152	5
SR4153	3812
SR4155	5
SR4156	5
SR4187	3812
