Strain	p11	p0006	p0017	p0017S	p002y	p003p	p0040	pyo
NRS001	0.8422	0.6519	0.9595	0.5246	0.4195	0.4133	0.5569	0.532888889
NRS002	0.9042	0.3246	0.357166667	0.2357	0.2046	0.2216	0.6643	0.153555556
NRS003	0.7337	0.501	0.6185	0.2065	0.2213	0.2198	0.4936	0.173333333
NRS021	0.905	0.2528	0.755	0.1831	0.1928	0.1817	0.7401	0.227333333
NRS022	0.707	0.4501	0.588333333	0.4034	0.3391	0.3865	0.3362	0.256222222
NRS027	0.2713	0.2565	0.427166667	0.2177	0.2243	0.1907	0.1777	0.162777778
NRS029	0.9481	0.2122	0.618	0.1916	0.1753	0.1852	0.5826	0.291444444
NRS035	0.9051	0.8051	0.320833333	0.3778	0.6376	0.6308	0.6402	0.224333333
NRS036	0.6885	0.2894	0.5925	0.1807	0.1898	0.1991	0.4747	0.335777778
NRS039	0.7031	0.2819	0.350333333	0.1848	0.1707	0.1659	0.4456	0.302
NRS049	0.6889	0.4084	0.463166667	0.3616	0.3007	0.2804	0.3927	0.279333333
NRS051	0.6326	0.4777	0.602833333	0.2718	0.21	0.1982	0.4848	0.272777778
NRS052	0.7276	0.625	0.757666667	0.3249	0.3525	0.3774	0.5058	0.210444444
NRS054	0.6265	0.2557	0.630166667	0.3386	0.2401	0.2423	0.3857	0.187777778
NRS063	0.7605	0.723	0.584666667	0.4197	0.3184	0.3701	0.5003	0.447111111
NRS064	0.8128	0.8694	0.865833333	0.5577	0.4554	0.4411	0.6872	0.534
NRS070	0.587	0.4008	0.948833333	0.3064	0.2767	0.2699	0.6793	0.247
NRS071	0.784	0.2584	0.357333333	0.1741	0.1818	0.1945	0.3661	0.277777778
NRS072	0.5525	0.3546	0.435833333	0.1746	0.1801	0.1931	0.2935	0.243333333
NRS073	0.5401	0.2984	0.448666667	0.1845	0.1808	0.17	0.3459	0.462222222
NRS074	0.5346	0.277	0.456166667	0.1835	0.1783	0.2138	0.4763	0.414222222
NRS079	0.6447	0.2454	0.454166667	0.1746	0.1711	0.1594	0.4258	0.215111111
NRS100	0.4874	0.3118	0.458	0.1978	0.1845	0.1788	0.3055	0.249
NRS102	0.4635	0.3531	0.438666667	0.2883	0.2764	0.2659	0.4804	0.154444444
NRS103	0.9634	0.5249	0.587666667	0.2829	0.4221	0.3102	0.9239	0.308666667
NRS104	0.8811	0.2859	0.340333333	0.1905	0.2263	0.1962	0.8615	0.375
NRS105	0.895	0.5905	0.396666667	0.307	0.3105	0.3099	0.5207	0.652666667
NRS106	0.9971	0.3735	0.7665	0.2432	0.2039	0.1806	0.8912	0.351
NRS107	0.5832	0.3744	0.368333333	0.2459	0.2266	0.2412	0.4838	0.422222222
NRS108	0.75	0.5081	0.853666667	0.4555	0.291	0.2839	0.379	0.355333333
NRS109	0.8244	0.871	0.375333333	0.6547	0.7657	0.6949	0.5077	0.769
NRS110	0.7639	0.7726	0.554	0.7058	0.6331	0.6059	0.5971	0.638444444
NRS111	0.8965	0.347	0.9755	0.3206	0.2944	0.2793	0.9789	0.437555556
NRS112	0.9619	0.3832	0.357666667	0.334	0.3563	0.3115	0.8184	0.608777778
NRS113	0.8826	0.9691	0.2105	0.1725	0.3199	0.3011	0.5797	0.159222222
NRS114	0.5789	0.3087	0.955	0.2376	0.216	0.2102	0.4433	0.190444444
NRS119	0.7646	0.3503	0.9705	0.3794	0.2514	0.2964	0.3823	0.375888889
NRS145	0.1859	0.2893	0.23	0.1776	0.171	0.1612	0.2137	0.250666667
NRS148	0.9271	0.9284	0.244	0.3515	0.8084	0.7101	0.9098	0.853111111
NRS149	0.3731	0.4712	0.351333333	0.3604	0.3915	0.3903	0.4165	0.378444444
NRS152	0.7743	0.5245	0.9615	0.5841	0.395	0.3581	0.3791	0.400444444
NRS157	0.8593	0.7352	0.209	0.2713	0.3669	0.4704	0.6385	0.275444444
NRS161	0.8378	0.5362	0.740166667	0.329	0.3613	0.3487	0.8104	0.294
NRS162	0.8919	0.5548	0.305	0.2496	0.3463	0.2959	0.7249	0.591555556
NRS164	0.9344	0.3138	0.8045	0.2477	0.2414	0.2288	0.9259	0.276111111
NRS167	0.7104	0.5828	0.226666667	0.1958	0.3932	0.3358	0.5791	0.186333333
NRS168	0.9359	0.8664	0.205666667	0.3148	0.4696	0.4553	0.6545	0.457444444
NRS169	0.9498	0.9288	0.207333333	0.2957	0.4606	0.4528	0.6779	0.460222222
